,total_references,num_jobs,percent_jobs,category
python,1409,1034,0.94,Main Search Terms
data,9707,1088,0.989090909,Main Search Terms
sql,936,654,0.594545455,Programming languages
r,578,470,0.427272727,Programming languages
excel,327,262,0.238181818,Programming languages
java,206,169,0.153636364,Programming languages
sas,156,121,0.11,Programming languages
javascript,120,100,0.090909091,Programming languages
c++,110,98,0.089090909,Programming languages
matlab,85,77,0.07,Programming languages
linux,77,64,0.058181818,Programming languages
pandas,72,67,0.060909091,Programming languages
c#,70,65,0.059090909,Programming languages
c,62,56,0.050909091,Programming languages
experience,4538,1036,0.941818182,Job Requirements
analytics,5324,953,0.866363636,Hard Skills
statistics,1306,564,0.512727273,Hard Skills
mathematics,516,397,0.360909091,Hard Skills
physics,85,72,0.065454545,Hard Skills
technical,949,520,0.472727273,Hard Skills
technology,1285,586,0.532727273,Technical Skills
quantitative,425,258,0.234545455,Hard Skills
research,1150,386,0.350909091,Hard Skills
development,1119,563,0.511818182,Hard Skills
solutions,1050,517,0.47,Hard Skills
software,1029,449,0.408181818,Hard Skills
engineering,974,515,0.468181818,Hard Skills
design,886,473,0.43,Hard Skills
management,812,442,0.401818182,Hard Skills
operations,359,236,0.214545455,Hard Skills
scientific,147,94,0.085454545,Hard Skills
smart,134,112,0.101818182,Hard Skills
algorithms,333,216,0.196363636,Technical Skills
databases,776,449,0.408181818,Technical Skills
datasets,284,192,0.174545455,Technical Skills
modeling,1410,564,0.512727273,Technical Skills
predictive,239,165,0.15,Technical Skills
pipelines,323,192,0.174545455,Technical Skills
trends,219,167,0.151818182,Technical Skills
functions,205,156,0.141818182,Technical Skills
visualization,538,362,0.329090909,Technical Skills
reporting,870,403,0.366363636,Technical Skills
dashboards,197,149,0.135454545,Technical Skills
optimization,183,123,0.111818182,Technical Skills
documentation,174,145,0.131818182,Technical Skills
coding,175,138,0.125454545,Technical Skills
patterns,144,119,0.108181818,Technical Skills
ai,230,127,0.115454545,Technical Skills
scripting,465,298,0.270909091,Technical Skills
computing,204,141,0.128181818,Technical Skills
queries,166,142,0.129090909,Technical Skills
ml,99,56,0.050909091,Technical Skills
frameworks,225,178,0.161818182,Technical Skills
regression,97,85,0.077272727,Technical Skills
validation,155,131,0.119090909,Technical Skills
apis,139,97,0.088181818,Technical Skills
forecasting,75,55,0.05,Technical Skills
classification,74,61,0.055454545,Technical Skills
transforming,71,68,0.061818182,Technical Skills
workflows,69,53,0.048181818,Technical Skills
tables,69,51,0.046363636,Technical Skills
self-motivated,58,55,0.05,Soft Skills
debugging,52,47,0.042727273,Technical Skills
professional,395,307,0.279090909,Soft Skills
team,2454,860,0.781818182,Soft Skills
communication,1301,720,0.654545455,Soft Skills
creativity,822,492,0.447272727,Soft Skills
competitive,258,215,0.195454545,Soft Skills
independent,276,229,0.208181818,Soft Skills
successful,195,169,0.153636364,Soft Skills
unique,194,167,0.151818182,Soft Skills
collaborative,383,312,0.283636364,Soft Skills
problem-solving,372,319,0.29,Soft Skills
leadership,187,152,0.138181818,Soft Skills
ideas,185,149,0.135454545,Soft Skills
strategic,346,240,0.218181818,Soft Skills
actionable,179,140,0.127272727,Soft Skills
organizational,162,141,0.128181818,Soft Skills
interpersonal,148,145,0.131818182,Soft Skills
data-driven,139,117,0.106363636,Soft Skills
accuracy,138,123,0.111818182,Soft Skills
integrity,136,119,0.108181818,Soft Skills
operational,131,106,0.096363636,Soft Skills
functional,121,103,0.093636364,Soft Skills
flexibility,101,92,0.083636364,Soft Skills
presentation,159,139,0.126363636,Hard Skills
cross-functional,100,87,0.079090909,Soft Skills
curious,95,83,0.075454545,Soft Skills
empower,79,76,0.069090909,Soft Skills
cutting-edge,70,64,0.058181818,Soft Skills
details,67,59,0.053636364,Soft Skills
rigorous,52,43,0.039090909,Soft Skills
cloud,490,250,0.227272727,Software Tools
tableau,368,285,0.259090909,Software Tools
aws,278,170,0.154545455,Software Tools
microsoft,331,240,0.218181818,Software Tools
google,156,86,0.078181818,Software Tools
azure,116,78,0.070909091,Software Tools
ibm,108,14,0.012727273,Software Tools
amazon,82,44,0.04,Software Tools
hadoop,70,60,0.054545455,Software Tools
git,61,60,0.054545455,Software Tools
apple,61,18,0.016363636,Software Tools
snowflake,57,49,0.044545455,Software Tools
powerbi,56,47,0.042727273,Software Tools
spss,52,48,0.043636364,Software Tools
powerpoint,52,51,0.046363636,Software Tools
stakeholders,353,245,0.222727273,Financial Terms
risk,234,113,0.102727273,Financial Terms
economics,272,186,0.169090909,Financial Terms
finance,506,252,0.229090909,Financial Terms
trading,155,43,0.039090909,Financial Terms
portfolio,126,83,0.075454545,Financial Terms
consulting,122,86,0.078181818,Financial Terms
compliance,117,97,0.088181818,Financial Terms
options,99,81,0.073636364,Financial Terms
fraud,79,30,0.027272727,Financial Terms
capital,77,45,0.040909091,Financial Terms
bank,76,22,0.02,Financial Terms
stock,64,57,0.051818182,Financial Terms
bachelors,773,679,0.617272727,Degrees
graduate,101,84,0.076363636,Degrees
phd,52,51,0.046363636,Degrees
401k,301,246,0.223636364,Job Benefits
dental,284,250,0.227272727,Job Benefits
healthcare,257,128,0.116363636,Job Benefits
tuition,89,76,0.069090909,Job Benefits
religious,121,104,0.094545455,Job Benefits
reimbursement,118,100,0.090909091,Job Benefits
retirement,104,89,0.080909091,Job Benefits
pregnancy,102,89,0.080909091,Job Benefits
tuition,89,76,0.069090909,Job Benefits
vacation,73,71,0.064545455,Job Benefits
pto,62,60,0.054545455,Job Benefits
pricing,61,36,0.032727273,Financial Terms
qualifications,696,507,0.460909091,Job Requirements
compensation,212,161,0.146363636,Job Benefits
salary,576,357,0.324545455,Job Requirements
remote,500,339,0.308181818,Job Type
vaccination,181,122,0.110909091,Covid References
vaccine,80,57,0.051818182,Covid References
vaccinated,239,150,0.136363636,Covid References
covid-19,362,217,0.197272727,Covid References
covid,55,41,0.037272727,Covid References
criminal,83,76,0.069090909,Other Terms
tiktok,75,14,0.012727273,Other Terms
colorado,68,51,0.046363636,Locations
boston,56,34,0.030909091,Locations
washington,51,31,0.028181818,Locations
apprenticeship,79,9,0.008181818,Job Type
contractor,58,43,0.039090909,Job Type
startup,53,46,0.041818182,Job Type
insurance,616,272,0.247272727,Job Benefits
medical,436,294,0.267272727,Job Benefits
law,300,213,0.193636364,Other Terms
investment,100,57,0.051818182,Financial Terms
spark,103,88,0.08,Software Tools
nike,94,7,0.006363636,Other Terms
california,75,40,0.036363636,Locations
manufacturing,65,37,0.033636364,Job Type
